INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,HANDLING UNIT ID,GEO_LOCATION,HANDLING UNIT NAME,APPROX_LATITUDE,APPROX_LONGITUDE,Zip Codes,2011 Supervisorial District Boundaries (Official)
1001037,HIT SHOOTING INCIDENT,2/13/2017 14:45,"7300 VAN NUYS BLVD.,",VAN NUYS,CA,91405,6884,TBN,"7300 VAN NUYS BLVD.,
VAN NUYS, CA 91405
(34.204816, -118.448737)",TRANSIT BUREAU NORTH,34.204816,-118.448737,19733,3
1001038,ANIMAL SHOOTING INCIDENT,2/17/2017 11:30,800 E. LANGHORN STREET,LANCASTER,CA,93535,1100,LCS,"800 E. LANGHORN STREET
LANCASTER, CA 93535
(34.698846, -118.11566)",LANCASTER STN,34.698846,-118.11566,26966,5
1001076,HIT SHOOTING INCIDENT,3/7/2017 23:05,5000 WEST SLAUSON AVENUE,LOS ANGELES,CA,90056,2767,MAR,"5000 WEST SLAUSON AVENUE
LOS ANGELES, CA 90056
(33.987686, -118.36568)",MARINA DEL REY STN,33.987686,-118.36568,24351,2
1001096,WARNING SHOT INCIDENT,3/11/2017 11:12,13100 E. AVENUE R-6,LITTLEROCK,CA,93543,2663,PLM,"13100 E. AVENUE R-6
LITTLEROCK, CA 93543
(34.567335, -117.925342)",PALMDALE STN,34.567335,-117.925342,27318,5
1000131,ANIMAL SHOOTING INCIDENT,6/27/2013 7:30,1200 E. GLENCOE STREET,COMPTON,CA,90221,2844,COP,"1200 E. GLENCOE STREET
COMPTON, CA 90221
(33.88216, -118.209067)",COPS BUREAU,33.88216,-118.209067,24350,2
1000687,HIT SHOOTING INCIDENT,2/24/2016 17:14,10900 ALONDRA BOULEVARD,NORWALK,CA,90650,2310,CER,"10900 ALONDRA BOULEVARD
NORWALK, CA 90650
(33.887057, -118.100431)",CERRITOS STN,33.887057,-118.100431,26324,4
1000095,ANIMAL SHOOTING INCIDENT,7/31/2012 11:15,1500 W. 87TH STREET,LOS ANGELES,CA,90047,3661,NARCO,"1500 W. 87TH STREET
LOS ANGELES, CA 90047
(33.959012, -118.302475)",NARCOTICS BUREAU,33.959012,-118.302475,23678,2
1000338,HIT SHOOTING INCIDENT,2/5/2011 21:56,3200 THOMAS AVENUE,PALMDALE,CA,93550,2603,PLM,"3200 THOMAS AVENUE
PALMDALE, CA 93550
(34.550873, -118.071451)",PALMDALE STN,34.550873,-118.071451,27323,5
1000072,ANIMAL SHOOTING INCIDENT,12/14/2011 11:23,15500 FAYSMITH AVENUE,GARDENA,CA,90249,388,SLA,"15500 FAYSMITH AVENUE
GARDENA, CA 90249
(33.890283, -118.331553)",SOUTH LOS ANGELES STATION,33.890283,-118.331553,24686,2
1000251,UNINTENTIONAL DISCHARGE INCIDENT,8/23/2014 21:10,400 CADBROOK DRIVE,LA PUENTE,CA,91744,1431,IDT,"400 CADBROOK DRIVE
LA PUENTE, CA 91744
(34.033092, -117.962448)",INDUSTRY STN,34.033092,-117.962448,9324,1
